Glass Transition Temperature,Stress Recovery,Smiles 1,Smiles 2,Smiles 3
73.08,7.92,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCCCCCCC(=O)O,
77.3,6.84,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCC(=O)O,
40.6,0.38,Nc2ccc(SSc1ccc(N)cc1)cc2,C1OC1COC3COC4C(OC2CO2)COC34,
37.3,0.38,Nc2ccc(Cc1ccc(N)cc1)cc2,C1OC1COC3COC4C(OC2CO2)COC34,
80.73,11.48,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,O=C1OC(=O)C2CCCCC12,
95,9.99,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,O=C1OC(=O)C2CCCCC12
66.99,7.46,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,O=C1OC(=O)C2CCCCC12
53.74,6.97,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,O=C1OC(=O)C2CCCCC12
46.01,6.81,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4,O=C1OC(=O)C2CCCCC12
58.65,9.93,CC(COc3ccc(C(C)(C)c2ccc(OCC(C)OCC1CO1)cc2)cc3)OCC4CO4,CC(CN)CCCN,
178,38.03,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,Nc2ccc(Cc1ccc(N)cc1)cc2,
169,29.97,Cc3cc(c2cc(C)c(OCC1CO1)c(C(C)(C)C)c2)cc(C(C)(C)C)c3OCC4CO4,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,Nc2ccc(Cc1ccc(N)cc1)cc2
160,21.15,Cc3cc(c2cc(C)c(OCC1CO1)c(C)c2)cc(C)c3OCC4CO4,Nc2ccc(Cc1ccc(N)cc1)cc2,
113.262,5.22,N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,
138.26,12.41,N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,
149.03,7.83,N#COc3ccc(CC2CCCC(Cc1ccc(OC#N)cc1)C2)cc3,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,
135,33,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN,
155,41,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN,Nc2ccc(Cc1ccc(N)cc1)cc2
171.252,43,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,
132,28,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6
133,23,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,NCCNCCN,Nc2ccc(Cc1ccc(N)cc1)cc2
158,30,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6
5.29,1.4,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
51.86,3.85,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
19.482,1.61,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
87.78,4.96,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
46.551,4.3,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
110.89,6.56,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
57.34,5.74,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
129.3,10.28,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
67.396,14.83,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
132.2,12.87,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
65.97,15.3,O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2,COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O,CCC(CO)(CO)CO
35,12,C=CC(=O)OC(C)(C)C,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,
33.99,15.8,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,
33,19,CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS,C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1,
34,17,C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1,C=CCOCC(CO)(COCC=C)COCC=C,
125,2.08,C=C(C)C(=O)OC,,
125.3,2.34,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,
120.57,3.04,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,
131.59,5.79,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,
135.79,11.67,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,
144.47,30.89,C=C(C)C(=O)OC,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,
51.8,2.656,C=CCOC(CC)(CO)CO,OCCCCO,CC(CN=C=O)CC(C)(C)CCN=C=O
59.7,2.31,C=CCOC(CC)(CO)CO,CC(C)(CO)CO,CC(CN=C=O)CC(C)(C)CCN=C=O
68.3,2.75,C=CCOC(CC)(CO)CO,OCC1CCC(CO)CC1,CC(CN=C=O)CC(C)(C)CCN=C=O
56.51,17.48,C=CCOC(CC)(CO)CO,O=C=NCCCCCCN=C=O,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS
68.84,19.4,C=CCOC(CC)(CO)CO,O=C=NC2CCC(CC1CCC(N=C=O)CC1)CC2,O=C=NCCCCCCN=C=O
57,17.44,CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC,CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,
51.1,14.26,CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC,CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
46.71,8.64,CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC,CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
34.57,2.87,CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC,CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
52.2,1.5,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)OC(C)(C)C,
51.4,5.62,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)OC(C)(C)C,
49.9,11.51,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,C=CC(=O)OC(C)(C)C,
54.8,2.42,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OC(C)(C)C,
55.4,5.55,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OC(C)(C)C,
53.5,11.54,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OC(C)(C)C,
48,1.2,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCC,
57,2.9,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCC,
52,8.5,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O,C=CC(=O)OCCCC,
125.5,7.78,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,
140,13.42,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2,
137.42,14.33,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2
126.8,16.34,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2
121.2,17.07,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4,Nc2ccc(Cc1ccc(N)cc1)cc2
86.3,8.6,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC1(C)CC(N)CC(C)(CN)C1,
75.12,6.37,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,CC1(C)CC(N)CC(C)(CN)C1
70.28,5.85,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,CC1(C)CC(N)CC(C)(CN)C1
63.09,5.48,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,CC1(C)CC(N)CC(C)(CN)C1
57.33,5.02,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,CC1(C)CC(N)CC(C)(CN)C1
47.23,5.03,CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(N)COCC(C)OCC(C)OCC(C)N,
171.89,12.33,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,CCc1cc(C)c(N)c(CC)c1N,
99.08,38.4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
88,76.59,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
140,122.63,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C)(COCC1CO1)COCC2CO2,
187,24,Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,
219,28,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,
39,2.62,C=CCOC(CC)(CO)CO,OCCOCCO,CC(CN=C=O)CC(C)(C)CCN=C=O
44,3.31,C=CCOC(CC)(CO)CO,OCCCCO,CC(CN=C=O)CC(C)(C)CCN=C=O
80.48,20.09,C=CCOC(CC)(CO)CO,O=C=NC2CCC(CC1CCC(N=C=O)CC1)CC2,O=C=NCCCCCCN=C=O
104.45,16.29,C=CCOC(CC)(CO)CO,O=C=NC2CCC(CC1CCC(N=C=O)CC1)CC2,O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS
141,27.32,C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,
203,37.46,C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3,O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4,
50,54,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O
279,60,C=CCc4ccc(OCC1CO1)c(c2cc(CC=C)ccc2OCC3CO3)c4,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,
231,40,CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2,
111,125,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,O=C1CCCC(=O)O1,
143,188,c3cc(N(CC1CC1)CC2CO2)ccc3OCC4CO4,O=C1CCCC(=O)O1,
132,298,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,O=C1CCCC(=O)O1,
121,72,c3cc(N(CC1CO1)CC2CO2)ccc3Cc6ccc(N(CC4CO4)CC5CO5)cc6,O=C1CCCC(=O)O1,
159.85,14.54,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,Nc2ccc(SSc1ccc(N)cc1)cc2,
151.49,21.25,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,Nc2ccc(SSc1ccc(N)cc1)cc2
147.78,21.85,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,Nc2ccc(SSc1ccc(N)cc1)cc2
136.6,28.35,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,Nc2ccc(SSc1ccc(N)cc1)cc2
135.7,36.57,c2cc(OCC1CO1)ccc2Cc4ccc(OCC3CO3)cc4,NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,
